Att00000,SM0000,Stu0000,14,7
Att00001,SM0000,Stu0000,6,8
Att00002,SM0000,Stu0000,3,5
Att00003,SM0000,Stu0001,12,5
Att00004,SM0000,Stu0001,6,9
Att00005,SM0000,Stu0001,16,10
Att00006,SM0000,Stu0002,8,9
Att00007,SM0000,Stu0002,3,4
Att00008,SM0000,Stu0002,6,9
Att00009,SM0000,Stu0002,12,10
Att00010,SM0000,Stu0003,6,6
Att00011,SM0000,Stu0004,15,5
Att00012,SM0000,Stu0004,11,7
Att00013,SM0000,Stu0004,16,10
Att00014,SM0000,Stu0005,6,7
Att00015,SM0000,Stu0005,2,3
Att00016,SM0000,Stu0005,7,9
Att00017,SM0000,Stu0006,19,5
Att00018,SM0000,Stu0006,1,9
Att00019,SM0000,Stu0007,10,7
Att00020,SM0000,Stu0007,12,10
Att00021,SM0000,Stu0007,3,4
Att00022,SM0000,Stu0008,9,7
Att00023,SM0000,Stu0008,10,7
Att00024,SM0000,Stu0008,8,8
Att00025,SM0000,Stu0008,3,6
Att00026,SM0000,Stu0008,6,7
Att00027,SM0000,Stu0009,9,9
Att00028,SM0000,Stu0009,10,10
Att00029,SM0000,Stu0009,8,5
Att00030,SM0000,Stu0009,6,10
Att00031,SM0000,Stu0010,3,1
Att00032,SM0000,Stu0011,21,10
Att00033,SM0000,Stu0012,2,5
Att00034,SM0000,Stu0012,7,6
Att00035,SM0000,Stu0012,17,9
Att00036,SM0000,Stu0013,10,9
Att00037,SM0000,Stu0013,4,4
Att00038,SM0000,Stu0013,16,10
Att00039,SM0000,Stu0013,22,10
Att00040,SM0000,Stu0014,7,9
Att00041,SM0000,Stu0014,1,7
Att00042,SM0000,Stu0015,2,5
Att00043,SM0000,Stu0015,5,7
Att00044,SM0000,Stu0015,6,6
Att00045,SM0000,Stu0016,2,9
Att00046,SM0000,Stu0016,21,9
Att00047,SM0000,Stu0016,18,5
Att00048,SM0000,Stu0016,20,8
Att00049,SM0000,Stu0016,8,7
Att00050,SM0000,Stu0017,10,6
Att00051,SM0000,Stu0017,14,6
Att00052,SM0000,Stu0017,18,10
Att00053,SM0000,Stu0017,7,5
Att00054,SM0000,Stu0018,2,2
Att00055,SM0000,Stu0018,13,5
Att00056,SM0000,Stu0018,18,7
Att00057,SM0000,Stu0018,5,6
Att00058,SM0000,Stu0019,2,7
Att00059,SM0000,Stu0020,17,9
Att00060,SM0000,Stu0020,11,9
Att00061,SM0000,Stu0021,1,8
Att00062,SM0000,Stu0021,6,6
Att00063,SM0000,Stu0021,11,10
Att00064,SM0000,Stu0022,2,4
Att00065,SM0000,Stu0022,3,1
Att00066,SM0000,Stu0022,1,8
Att00067,SM0000,Stu0022,6,7
Att00068,SM0000,Stu0023,10,8
Att00069,SM0000,Stu0023,3,8
Att00070,SM0000,Stu0023,12,5
Att00071,SM0000,Stu0023,2,2
Att00072,SM0000,Stu0023,20,1
Att00073,SM0000,Stu0024,16,7
Att00074,SM0000,Stu0024,5,8
Att00075,SM0000,Stu0024,12,8
Att00076,SM0000,Stu0024,10,5
Att00077,SM0000,Stu0024,14,5
Att00078,SM0000,Stu0025,15,10
Att00079,SM0000,Stu0025,3,1
Att00080,SM0000,Stu0026,9,8
Att00081,SM0000,Stu0026,29,10
Att00082,SM0000,Stu0027,16,10
Att00083,SM0000,Stu0027,5,10
Att00084,SM0000,Stu0027,11,7
Att00085,SM0000,Stu0027,26,6
Att00086,SM0000,Stu0027,6,10
Att00087,SM0000,Stu0028,11,8
Att00088,SM0000,Stu0028,21,4
Att00089,SM0000,Stu0028,9,9
Att00090,SM0000,Stu0028,19,5
Att00091,SM0000,Stu0029,15,9
Att00092,SM0000,Stu0030,1,7
Att00093,SM0000,Stu0030,2,9
Att00094,SM0000,Stu0030,5,7
Att00095,SM0000,Stu0030,17,7
Att00096,SM0000,Stu0030,6,7
Att00097,SM0000,Stu0031,13,8
Att00098,SM0000,Stu0031,9,10
Att00099,SM0000,Stu0032,14,5
Att00100,SM0000,Stu0032,5,10
Att00101,SM0000,Stu0032,15,8
Att00102,SM0000,Stu0033,5,8
Att00103,SM0000,Stu0033,3,4
Att00104,SM0000,Stu0034,6,8
Att00105,SM0000,Stu0034,24,8
Att00106,SM0000,Stu0034,28,3
Att00107,SM0000,Stu0034,2,6
Att00108,SM0000,Stu0034,22,8
Att00109,SM0000,Stu0035,6,8
Att00110,SM0000,Stu0035,16,6
Att00111,SM0000,Stu0035,7,6
Att00112,SM0000,Stu0035,19,7
Att00113,SM0000,Stu0035,27,8
Att00114,SM0000,Stu0036,25,8
Att00115,SM0000,Stu0036,18,6
Att00116,SM0000,Stu0036,29,4
Att00117,SM0000,Stu0036,5,7
Att00118,SM0000,Stu0037,5,8
Att00119,SM0000,Stu0038,4,4
Att00120,SM0000,Stu0038,1,6
Att00121,SM0000,Stu0039,19,6
Att00122,SM0000,Stu0039,1,9
Att00123,SM0000,Stu0039,8,8
Att00124,SM0000,Stu0040,10,9
Att00125,SM0000,Stu0040,9,8
Att00126,SM0000,Stu0040,11,7
Att00127,SM0000,Stu0041,6,9
Att00128,SM0000,Stu0041,5,6
Att00129,SM0000,Stu0041,4,5
Att00130,SM0000,Stu0041,1,10
Att00131,SM0000,Stu0041,3,2
Att00132,SM0000,Stu0042,7,7
Att00133,SM0000,Stu0043,6,9
Att00134,SM0000,Stu0043,11,7
Att00135,SM0000,Stu0043,2,6
Att00136,SM0000,Stu0043,7,6
Att00137,SM0000,Stu0044,7,7
Att00138,SM0000,Stu0044,12,9
Att00139,SM0000,Stu0045,29,3
Att00140,SM0000,Stu0045,21,10
Att00141,SM0000,Stu0045,30,6
Att00142,SM0000,Stu0046,10,6
Att00143,SM0000,Stu0046,11,10
Att00144,SM0000,Stu0046,9,10
Att00145,SM0000,Stu0046,6,6
Att00146,SM0000,Stu0046,4,6
Att00147,SM0000,Stu0047,12,5
Att00148,SM0000,Stu0047,15,6
Att00149,SM0000,Stu0048,5,10
Att00150,SM0000,Stu0048,19,5
Att00151,SM0000,Stu0048,25,5
Att00152,SM0000,Stu0048,17,8
Att00153,SM0000,Stu0049,1,6
Att00154,SM0000,Stu0049,6,6
Att00155,SM0000,Stu0050,16,7
Att00156,SM0000,Stu0050,2,4
Att00157,SM0000,Stu0051,4,7
Att00158,SM0000,Stu0051,6,10
Att00159,SM0000,Stu0051,3,1
Att00160,SM0000,Stu0051,2,6
Att00161,SM0000,Stu0052,12,6
Att00162,SM0000,Stu0053,4,4
Att00163,SM0000,Stu0053,16,6
Att00164,SM0000,Stu0053,10,6
Att00165,SM0000,Stu0053,17,10
Att00166,SM0000,Stu0053,18,7
Att00167,SM0000,Stu0054,20,9
Att00168,SM0000,Stu0054,12,9
Att00169,SM0000,Stu0055,7,5
Att00170,SM0000,Stu0055,3,4
Att00171,SM0000,Stu0056,14,7
Att00172,SM0000,Stu0056,12,8
Att00173,SM0000,Stu0056,3,1
Att00174,SM0000,Stu0056,8,9
Att00175,SM0000,Stu0057,13,9
Att00176,SM0000,Stu0057,4,1
Att00177,SM0000,Stu0057,8,7
Att00178,SM0000,Stu0057,11,7
Att00179,SM0000,Stu0058,14,7
Att00180,SM0000,Stu0058,5,7
Att00181,SM0000,Stu0058,17,10
Att00182,SM0000,Stu0058,8,5
Att00183,SM0000,Stu0058,9,8
Att00184,SM0000,Stu0059,2,1
Att00185,SM0000,Stu0059,11,10
Att00186,SM0000,Stu0060,2,6
Att00187,SM0000,Stu0060,16,7
Att00188,SM0000,Stu0061,2,6
Att00189,SM0000,Stu0062,18,6
Att00190,SM0000,Stu0062,9,7
Att00191,SM0000,Stu0062,24,2
Att00192,SM0000,Stu0062,19,10
Att00193,SM0000,Stu0062,10,7
Att00194,SM0000,Stu0063,6,8
Att00195,SM0000,Stu0064,2,10
Att00196,SM0000,Stu0065,13,8
Att00197,SM0000,Stu0066,16,8
Att00198,SM0000,Stu0066,12,7
Att00199,SM0000,Stu0066,4,8
Att00200,SM0000,Stu0067,6,10
Att00201,SM0000,Stu0067,10,10
Att00202,SM0000,Stu0067,2,7
Att00203,SM0000,Stu0067,3,5
Att00204,SM0000,Stu0068,5,7
Att00205,SM0000,Stu0068,8,10
